id	is_true	c1.rep1	c1.rep2	c1.rep3	c2.rep1	c2.rep2	c2.rep3	c2.rep4
Q9BT78.4514	false	2.500e+06	6.471e+06	5.808e+06	5.778e+06	4.290e+06	7.970e+06	4.128e+06
Q9BT78.33506	false	3.520e+06	7.004e+06	5.367e+06	5.919e+06	5.202e+06	6.372e+06	4.105e+06
Q9BT78.2087	false	7.436e+06	6.140e+06	1.026e+07	1.198e+07	1.043e+07	9.470e+06	8.430e+06
Q9BT78.35400	false	7.178e+06	1.167e+07	2.577e+06	8.699e+06	6.328e+06	8.349e+06	7.796e+06
Q9BT78.53257	false	6.607e+06	1.017e+07	8.260e+06	1.003e+07	9.048e+06	8.298e+06	6.817e+06
Q9BT78.4277	false	5.354e+06	8.475e+06	9.011e+06	1.526e+07	1.128e+07	6.778e+06	1.393e+07
Q9BT78.24758	false	0.000e+00	1.302e+06	4.589e+05	1.845e+06	1.223e+06	2.403e+06	1.625e+06
Q9BT78.40343	false	7.906e+06	5.818e+06	1.245e+07	6.825e+06	8.170e+06	7.141e+06	8.198e+06
Q9BT78.21727	false	4.745e+06	9.422e+06	1.230e+07	1.056e+07	1.746e+07	1.291e+07	1.464e+07
Q9BT78.34497	false	1.388e+06	4.075e+06	5.386e+06	7.142e+06	4.955e+06	4.300e+06	4.084e+06
Q96T37.36820	false	2.664e+06	4.273e+06	6.959e+06	0.000e+00	2.952e+06	1.229e+06	4.045e+06
Q96T37.51541	false	2.749e+06	5.221e+06	5.632e+06	6.620e+06	3.330e+06	5.073e+06	3.935e+06
Q96T37.17238	false	3.905e+06	4.374e+06	3.110e+06	4.276e+06	3.991e+06	3.942e+06	0.000e+00
Q96T37.47067	false	0.000e+00	3.399e+06	1.308e+06	2.228e+06	0.000e+00	4.807e+06	0.000e+00
Q96T37.6978	false	6.534e+05	9.073e+05	2.495e+06	4.053e+06	4.469e+06	2.739e+06	5.694e+05
Q96T37.47911	false	2.676e+06	5.250e+06	5.243e+06	5.566e+06	4.598e+06	4.943e+06	4.669e+06
Q96T37.31052	false	1.528e+06	2.921e+06	1.967e+06	3.460e+06	1.213e+06	2.652e+06	2.681e+06
Q96T37.40108	false	2.567e+06	3.581e+06	3.636e+06	2.942e+06	3.008e+06	3.105e+06	2.040e+06
Q96T37.22033	false	1.909e+06	4.263e+06	6.297e+06	5.544e+06	5.223e+06	5.457e+06	4.098e+06
Q8N9N7.20576	false	1.151e+06	3.275e+06	3.385e+06	2.730e+06	3.021e+06	2.499e+06	3.646e+06
Q8N9N7.18244	false	1.553e+06	0.000e+00	1.079e+06	2.146e+06	0.000e+00	2.852e+06	2.727e+06
Q8N9N7.22268	false	2.648e+06	2.183e+06	1.534e+06	2.307e+06	1.411e+06	1.729e+06	8.211e+05
P46937.48048	false	3.640e+06	3.616e+06	6.421e+06	6.019e+06	5.776e+06	4.898e+06	6.940e+06
P46937.49872	false	0.000e+00	9.496e+05	2.634e+06	3.780e+06	2.242e+06	3.269e+06	0.000e+00
P46937.5509	false	8.932e+05	9.160e+05	2.491e+06	1.364e+06	1.739e+06	1.591e+06	1.600e+06
P46937.1849	false	0.000e+00	8.163e+05	3.091e+06	2.648e+06	3.489e+06	3.361e+06	0.000e+00
P46937.57213	false	1.812e+06	3.581e+06	4.746e+06	4.281e+06	4.171e+06	2.601e+06	3.340e+06
P61960.24952	false	1.400e+07	1.201e+06	0.000e+00	1.045e+07	1.639e+07	7.784e+06	1.021e+07
P61960.13675	false	2.055e+06	5.647e+06	5.505e+06	9.884e+06	6.516e+06	7.771e+06	7.233e+06
P49593.7360	false	0.000e+00	2.280e+06	1.641e+06	4.236e+06	0.000e+00	1.808e+06	1.537e+06
P49593.33329	false	2.612e+06	5.135e+05	5.705e+06	1.132e+06	2.008e+06	1.542e+06	1.794e+06
P49593.43299	false	3.614e+06	5.124e+06	4.768e+06	5.214e+06	4.393e+06	3.717e+06	2.944e+06
P49593.56771	false	4.645e+06	0.000e+00	2.917e+06	4.949e+06	2.593e+06	5.657e+06	5.127e+06
P49593.4837	false	0.000e+00	5.146e+06	1.049e+07	7.088e+06	0.000e+00	5.325e+06	0.000e+00
P49593.48266	false	2.141e+06	2.938e+06	2.429e+06	2.249e+06	2.037e+06	0.000e+00	2.082e+06
P49593.41501	false	2.489e+06	0.000e+00	4.665e+06	0.000e+00	2.546e+06	0.000e+00	1.966e+06
P49593.51501	false	5.247e+06	4.870e+06	5.457e+06	5.022e+06	5.824e+06	4.982e+06	6.639e+06
Q9UPZ6.51975	false	2.506e+06	3.955e+06	3.887e+06	3.849e+06	3.520e+06	4.526e+06	3.561e+06
Q9UPZ6.55287	false	0.000e+00	2.647e+06	2.815e+06	2.123e+06	3.212e+06	2.436e+06	3.533e+06
Q9UPZ6.53151	false	2.703e+06	2.422e+06	2.986e+06	2.731e+06	2.553e+06	2.403e+06	2.609e+06
Q9UPZ6.54319	false	5.426e+06	0.000e+00	4.041e+06	0.000e+00	3.368e+06	4.253e+06	3.470e+06
Q8IVW6.54536	false	9.655e+05	6.539e+05	1.273e+06	0.000e+00	2.168e+06	8.882e+05	1.424e+06
Q8IVW6.33244	false	1.108e+06	2.452e+06	1.429e+06	0.000e+00	0.000e+00	1.143e+06	1.150e+06
O75608.2467	false	7.782e+06	8.415e+06	5.979e+06	7.734e+06	6.002e+06	9.789e+06	6.131e+06
O75608.3800	false	8.072e+06	1.442e+07	1.921e+07	1.524e+07	1.422e+07	1.681e+07	1.324e+07
O75608.49759	false	4.209e+06	4.935e+06	6.175e+06	4.747e+06	8.136e+06	4.503e+06	5.924e+06
P09884.38308	false	2.297e+07	0.000e+00	1.884e+06	0.000e+00	2.411e+07	0.000e+00	6.162e+06
P09884.12103	false	1.342e+06	1.636e+06	1.833e+06	1.431e+06	1.460e+06	1.556e+06	8.911e+05
P09884.7949	false	1.215e+07	6.354e+05	2.470e+06	3.681e+06	1.832e+06	3.351e+06	2.396e+06
P09884.37522	false	1.734e+06	2.532e+06	2.763e+06	3.153e+06	2.188e+06	3.220e+06	2.270e+06
P09884.52083	false	1.661e+06	2.249e+06	8.204e+05	2.604e+06	1.269e+06	3.244e+06	1.691e+06
P09884.37944	false	1.953e+06	2.401e+06	1.374e+06	3.200e+06	2.639e+06	2.675e+06	2.050e+06
P09884.38877	false	1.016e+06	2.452e+06	3.507e+06	2.369e+06	1.081e+06	3.564e+06	2.279e+06
P09884.56765	false	0.000e+00	2.779e+06	3.532e+06	3.429e+06	0.000e+00	3.277e+06	0.000e+00
P09884.58301	false	1.002e+06	1.973e+06	2.536e+06	3.399e+06	2.146e+06	2.446e+06	1.562e+06
Q96S52.13980	false	4.872e+06	7.118e+05	2.822e+06	4.051e+06	2.436e+06	3.302e+06	2.188e+06
Q96S52.54048	false	0.000e+00	3.672e+05	5.090e+05	1.189e+06	8.300e+05	1.077e+06	7.075e+05
Q96S52.30899	false	1.690e+06	2.074e+06	2.240e+06	0.000e+00	1.264e+06	2.837e+06	2.573e+06
Q96S52.8709	false	2.944e+06	0.000e+00	3.700e+06	3.320e+06	2.777e+06	2.803e+06	3.311e+06
Q96S52.56279	false	5.249e+05	2.705e+06	4.081e+06	3.339e+06	2.750e+06	4.012e+06	2.395e+06
Q96S52.5786	false	6.231e+06	8.501e+06	8.120e+06	7.522e+06	8.277e+06	7.486e+06	8.444e+06
A6NHL2.44476	false	5.277e+06	6.319e+06	7.508e+06	1.077e+07	6.644e+06	1.095e+07	5.564e+06
Q9ULL5.24515	false	1.484e+06	2.532e+06	3.394e+06	2.615e+06	2.502e+06	1.978e+06	2.104e+06
P63010.37696	false	1.468e+07	2.413e+07	2.739e+07	3.075e+07	2.989e+07	3.113e+07	1.910e+07
P63010.40704	false	2.378e+06	0.000e+00	5.796e+06	5.293e+06	5.922e+06	5.329e+06	6.176e+06
P63010.7682	false	0.000e+00	5.871e+06	1.100e+07	1.151e+07	2.748e+06	6.126e+06	3.827e+06
P63010.14854	false	6.308e+06	1.194e+07	7.766e+06	1.309e+07	1.256e+07	1.171e+07	8.185e+06
P63010.54346	false	2.227e+06	1.606e+06	5.620e+06	5.261e+06	4.855e+06	6.073e+06	3.663e+06
P63010.30091	false	1.923e+07	3.111e+07	2.696e+07	3.391e+07	3.273e+07	3.067e+07	2.725e+07
P63010.33293	false	6.664e+06	2.494e+06	8.657e+06	8.860e+06	2.296e+07	7.263e+06	1.346e+07
P63010.4751	false	4.914e+06	7.548e+06	7.110e+06	8.447e+06	8.200e+06	7.702e+06	5.792e+06
P63010.24400	false	1.178e+07	2.371e+07	1.903e+07	1.968e+07	1.642e+07	1.697e+07	1.066e+07
P63010.31569	false	2.192e+07	3.038e+07	3.398e+07	4.077e+07	4.002e+07	4.219e+07	3.946e+07
P63010.6293	false	5.590e+06	1.032e+07	1.030e+07	9.708e+06	1.118e+07	9.411e+06	1.074e+07
P63010.36311	false	2.024e+07	2.056e+07	2.214e+07	2.641e+07	2.505e+07	2.733e+07	2.321e+07
P63010.28634	false	1.294e+07	8.829e+06	1.561e+07	1.759e+07	1.578e+07	1.694e+07	1.623e+07
P63010.34079	false	1.679e+07	2.712e+07	1.958e+07	1.372e+07	1.992e+07	1.378e+07	1.575e+07
P63010.26592	false	4.235e+07	2.800e+07	3.373e+07	2.217e+07	4.038e+07	4.015e+07	5.150e+07
P63010.13540	false	5.432e+06	5.366e+06	1.567e+07	1.012e+07	1.064e+07	1.050e+07	1.697e+07
P63010.360	false	9.669e+05	0.000e+00	3.241e+06	4.235e+06	3.354e+06	3.688e+06	4.045e+06
P63010.32049	false	1.839e+07	3.287e+07	2.544e+07	3.836e+07	2.738e+07	2.651e+07	7.015e+06
